NAME1,NAME2,TYPE,ID
NEGIN PARTO KHAVAR,NEGIN PARTO,C,16445
NEGIN PARTO KHAVAR,PAYAN AVARAN OMRAN,C,16445
NEGIN PARTO KHAVAR,ERTEBATE EGHTESSADE MONIR,C,16445
AL-MULATHAMUN BATTALION,AL-MULATHAMUN BRIGADE,C,16446
AL-MULATHAMUN BATTALION,AL-MUWAQQI'UN BIL-DIMA,C,16446
AL-MULATHAMUN BATTALION,THOSE SIGNED IN BLOOD BATTALION,C,16446
AL-MULATHAMUN BATTALION,SIGNATORIES IN BLOOD,C,16446
AL-MULATHAMUN BATTALION,THOSE WHO SIGN IN BLOOD,C,16446
AL-MULATHAMUN BATTALION,SIGNED-IN-BLOOD BATTALION,C,16446
AL-MULATHAMUN BATTALION,KHALED ABU AL-ABBAS BRIGADE,C,16446
AL-MULATHAMUN BATTALION,AL-MULATHAMUN MASKED ONES BRIGADE,C,16446
AL-MULATHAMUN BATTALION,AL-MURABITOUN,C,16446
LAHORE JAN SHANWARI EXCHANGE,HAJI LAL MOHAMMAD MONEY SERVICE PROVIDER,C,16451
LAHORE JAN SHANWARI EXCHANGE,ALI SHER SHINWARY LTD.,C,16451
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARIA IN LIBYA,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARIAH BRIGADE,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARI'A BRIGADE,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,KATIBAT ANSAR AL-SHARIA IN BENGHAZI,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARIAH-BENGHAZI,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,AL-RAYA ESTABLISHMENT FOR MEDIA PRODUCTION,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARIA,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,SOLDIERS OF THE SHARIA,C,16475
ANSAR AL-SHARI'A IN BENGHAZI,ANSAR AL-SHARIAH,C,16475
ANSAR AL-SHARI'A IN DARNAH,ANSAR AL-SHARIA IN DERNA,C,16476
ANSAR AL-SHARI'A IN DARNAH,ANSAR AL-SHARIA IN LIBYA,C,16476
ANSAR AL-SHARI'A IN DARNAH,ANSAR AL-SHARIA,C,16476
ANSAR AL-SHARI'A IN DARNAH,ANSAR AL-SHARIA BRIGADE IN DARNAH,C,16476
ANSAR AL-SHARI'A IN TUNISIA,AL-QAYRAWAN MEDIA FOUNDATION,C,16477
ANSAR AL-SHARI'A IN TUNISIA,ANSAR AL-SHARIA IN TUNISIA,C,16477
ANSAR AL-SHARI'A IN TUNISIA,ANSAR AL-SHARI'AH,C,16477
ANSAR AL-SHARI'A IN TUNISIA,ANSAR AL-SHARI'AH IN TUNISIA,C,16477
ANSAR AL-SHARI'A IN TUNISIA,ANSAR AL-SHARIA,C,16477
ADVANCE ELECTRICAL AND INDUSTRIAL TECHNOLOGIES SL,CLEAR TRADE LINK SL,C,16520
TIVA SANAT GROUP,TIVA GROUP INDUSTRIES,C,16524
TIVA SANAT GROUP,TIVA GROUP,C,16524
TIVA SANAT GROUP,TIVA SANAT SHIPBUILDING COMPANY,C,16524
TIVA KARA CO. LTD.,TIVA KARA GROUP,C,16525
KUDO-KAI,KUDOKAI,C,16604
KUDO-KAI,FIFTH KUDO-KAI,C,16604
KUDO-KAI,GODAIME KUDO-KAI,C,16604
LOS VALLES DRUG TRAFFICKING ORGANIZATION,VALLE VALLE DRUG TRAFFICKING ORGANIZATION,C,16622
BANK ROSSIYA,AKTSIONERNY BANK RUSSIAN FEDERATION,C,16681
BANK ROSSIYA,"AB ROSSIYA, OAO",C,16681
BANK ROSSIYA,OTKRYTOE AKTSIONERNOE OBSHCHESTVO AKTSIONERNY BANK ROSSIYA,C,16681
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,FORCES DEMOCRATIQUES ALLIEES-ARMEE NATIONALE DE LIBERATION DE L'OUGANDA,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,ISLAMIC ALLIANCE OF DEMOCRATIC FORCES,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,MADINA AT TAUHEED WAU MUJAHEDEEN,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,CITY OF MONOTHEISM AND HOLY WARRIORS,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,ISLAMIC STATE CENTRAL AFRICA PROVINCE,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,WILAYAT CENTRAL AFRICA,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,WILAYAH CENTRAL AFRICA MEDIA OFFICE,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,WILAYAT WASAT IFRIQIYAH,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,ISIS-CENTRAL AFRICA,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,WILAYAH CENTRAL AFRICA,C,16696
ISLAMIC STATE OF IRAQ AND SYRIA - DEMOCRATIC REPUBLIC OF THE CONGO,ALLIED DEMOCRATIC FORCES,C,16696
CHERNOMORNEFTEGAZ,CHORNOMORNAFTOGAZ,C,16736
CHERNOMORNEFTEGAZ,NJSC CHORNOMORNAFTOGAZ,C,16736
ISIS-SINAI PROVINCE,ANSAR BAYT AL-MAQDES,C,16763
ISIS-SINAI PROVINCE,ANSAR BEIT AL-MAQDIS,C,16763
ISIS-SINAI PROVINCE,JAMAAT ANSAR BEIT AL-MAQDIS FI SINAA,C,16763
ISIS-SINAI PROVINCE,ANSAR BAYT AL-MAQDIS,C,16763
ISIS-SINAI PROVINCE,ISLAMIC STATE-SINAI PROVINCE,C,16763
